년도,날짜,시간,구장,팀1,팀2,조,경기,결과,경고
1998,06.24,04:00,스타드 벨로드롬 (마르세유),브라질,노르웨이,A조,A12,1:2,
1998,06.24,23:00,스타드 드 제를랑 (리옹),프랑스,덴마크,C조,C12,2:1,
1998,06.24,23:00,파르크 레스퀴르 (보르도),남아공화국,사우디,C조,C43,2:2,
1998,06.25,04:00,스타드 펠릭스 볼라 르 (랑스),스페인,불가리아,D조,D12,6:1,
1998,06.25,04:00,툴루즈 시립 경기장 (툴루즈),나이지리아,파라과이,D조,D43,1:3,
1998,06.25,23:00,파르크 데 프랭스 (파리),벨기에,대한민국,E조,E23,1:1,
1998,06.25,23:00,스타드 조프루아 기샤르 (생테티엔),네덜란드,멕시코,E조,E14,2:2,
1998,06.26,04:00,스타드 드 라 보주아르 (낭트),미국,유고,F조,F42,0:1,
1998,06.26,04:00,스타드 드 라 모송 (몽펠리에),독일,이란,F조,F13,2:0,
1998,06.26,23:00,스타드 드 제를랑 (리옹),일본,자메이카,H조,H34,1:2,
1998,06.26,23:00,파르크 레스퀴르 (보르도),아르헨티나,크로아티아,H조,H12,1:0,
1998,06.27,04:00,스타드 펠릭스 볼라르 (랑스),콜롬비아,잉글랜드,G조,G32,0:2,
1998,06.27,04:00,스타드 드 프랑스 (생드니),루마니아,튀니지,G조,G14,1:1,
1998,06.27,23:30,스타드 벨로드롬 (마르세유),이탈리아,노르웨이,w49,B1A2,1:0,
1998,06.28,04:00,파르크 데 프랭스 (파리),브라질,칠레,w50,A1B2,4:1,
1998,06.28,23:30,스타드 펠릭스 볼라르 (랑스),프랑스,파라과이,w51,C1D2,0:0_1:0,
1998,06.29,04:00,스타드 드 프랑스 (생드니),나이지리아,덴마크,w52,D1C2,1:4,
1998,06.29,23:30,스타드 드 라 모송 (몽펠리에),독일,멕시코,w53,F1E2,2:1,
1998,06.30,04:00,툴루즈 시립 경기장 (툴루즈),네덜란드,유고,w54,E1F2,2:1,
